code,name,status,ok_1d,ok_1m,count_1d,count_1m
600273.SH,嘉化能源,Success,True,True,513,6525
600668.SH,尖峰集团,Success,True,True,513,6525
688267.SH,中触媒,Success,True,True,513,6525
603578.SH,三星新材,Success,True,True,513,6525
603163.SH,圣晖集成,Success,True,True,513,6525
601000.SH,唐山港,Success,True,True,513,6525
688608.SH,恒玄科技,Success,True,True,513,6525
688213.SH,思特威-W,Success,True,True,513,6525
603117.SH,万林物流,Success,True,True,513,6525
603061.SH,金海通,Success,True,True,513,6525
688365.SH,光云科技,Success,True,True,513,6525
603015.SH,弘讯科技,Success,True,True,513,6525
605358.SH,立昂微,Success,True,True,513,6525
600782.SH,新钢股份,Success,True,True,513,6525
600399.SH,抚顺特钢,Success,True,True,513,6525
601519.SH,大智慧,Success,True,True,513,6525
688311.SH,盟升电子,Success,True,True,513,6525
603089.SH,正裕工业,Success,True,True,513,6525
688796.SH,百奥赛图,Success,True,True,44,6525
600305.SH,恒顺醋业,Success,True,True,513,6525
600371.SH,万向德农,Success,True,True,513,6525
600880.SH,博瑞传播,Success,True,True,513,6525
600531.SH,豫光金铅,Success,True,True,513,6525
600545.SH,卓郎智能,Success,True,True,513,6525
603655.SH,朗博科技,Success,True,True,513,6525
600868.SH,梅雁吉祥,Success,True,True,513,6525
688551.SH,科威尔,Success,True,True,513,6525
605177.SH,东亚药业,Success,True,True,513,6525
688525.SH,佰维存储,Success,True,True,513,6525
688048.SH,长光华芯,Success,True,True,513,6525
603757.SH,大元泵业,Success,True,True,513,6525
605001.SH,威奥股份,Success,True,True,513,6525
603338.SH,浙江鼎力,Success,True,True,513,6525
600028.SH,中国石化,Success,True,True,513,6525
600433.SH,冠豪高新,Success,True,True,513,6525
600982.SH,宁波能源,Success,True,True,513,6525
688238.SH,和元生物,Success,True,True,513,6525
688623.SH,双元科技,Success,True,True,513,6525
603896.SH,寿仙谷,Success,True,True,513,6525
603527.SH,众源新材,Success,True,True,513,6525
688657.SH,浩辰软件,Success,True,True,513,6525
